,sentence,target,target_type,category,polarity,opinin_Term
693,"Downtown Dinner 2002 - Prixe fix : Appetizers were ok , waiter gave me poor suggestion ... try the potato stuff kanish best one .",waiter,explicit,SERVICE GENERAL,negative,poor
694,"Downtown Dinner 2002 - Prixe fix : Appetizers were ok , waiter gave me poor suggestion ... try the potato stuff kanish best one .",potato stuff kanish,explicit,FOOD QUALITY,positive,try
695,"Downtown Dinner 2002 - Prixe fix : Appetizers were ok , waiter gave me poor suggestion ... try the potato stuff kanish best one .",potato stuff kanish,explicit,FOOD QUALITY,positive,best
696,I take all my NYC guests to VT 's .,VT 's,explicit,RESTAURANT MISCELLANEOUS,positive,take all my NYC guests
697,"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",seafood,explicit,FOOD QUALITY,positive,amazing
698,"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",wine list,explicit,DRINKS STYLE_OPTIONS,positive,good
699,"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",menu,explicit,FOOD STYLE_OPTIONS,positive,ever-changing
700,"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",menu,explicit,FOOD STYLE_OPTIONS,positive,great surprises
701,"In any event , this is a place I 'll be sure to stop by again when I 'm in this part of town .",place,explicit,RESTAURANT GENERAL,positive,stop by again
702,They have a huge selection of different cream cheeses and all of their salads are great .,salads,explicit,FOOD QUALITY,positive,great
703,They have a huge selection of different cream cheeses and all of their salads are great .,cream cheeses,explicit,FOOD STYLE_OPTIONS,positive,huge
704,They have a huge selection of different cream cheeses and all of their salads are great .,cream cheeses,explicit,FOOD STYLE_OPTIONS,positive,different
705,It looked like shredded cheese partly done - still in strips .,NULL,implicit,FOOD QUALITY,negative,shredded cheese partly done
706,I loved everythig about it-especially the shows and actors .,shows,explicit,AMBIENCE GENERAL,positive,loved
707,I loved everythig about it-especially the shows and actors .,actors,explicit,AMBIENCE GENERAL,positive,loved
708,The staff is no nonsense .,staff,explicit,SERVICE GENERAL,positive,no nonsense
709,And evaluated on those terms Pastis is simply wonderful .,Pastis,explicit,RESTAURANT GENERAL,positive,wonderful
710,We had the lobster sandwich and it was FANTASTIC .,lobster sandwich,explicit,FOOD QUALITY,positive,FANTASTIC
711,Beef noodle soup is good as well .,Beef noodle soup,explicit,FOOD QUALITY,positive,good
712,The lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .,lobster sandwich,explicit,FOOD QUALITY,positive,good
713,The lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .,lobster sandwich,explicit,FOOD PRICES,negative,not nearly enough to warrant that price
714,The price is reasonable although the service is poor .,NULL,implicit,RESTAURANT PRICES,positive,reasonable
715,The price is reasonable although the service is poor .,service,explicit,SERVICE GENERAL,negative,poor
716,"A big disappointment , all around .",NULL,implicit,RESTAURANT GENERAL,negative,disappointment
717,"however , it 's the service that leaves a bad taste in my mouth .",service,explicit,SERVICE GENERAL,negative,bad taste
718,"However , go for the ambience , and consider the food just a companion for a trip across the world !",food,explicit,FOOD QUALITY,neutral,a companion for a trip across the world 
719,I really loved the different and inovated touch that 's the cheff gives to the food .,cheff,explicit,FOOD STYLE_OPTIONS,positive,loved
720,I really loved the different and inovated touch that 's the cheff gives to the food .,cheff,explicit,FOOD STYLE_OPTIONS,positive,inovated
721,Big thumbs up !,NULL,implicit,RESTAURANT GENERAL,positive,thumbs up
722,This is one of the best comfort food places in the city .,NULL,implicit,RESTAURANT GENERAL,positive,best
723,I 've waited over one hour for food .,NULL,implicit,SERVICE GENERAL,negative,waited over one hour
724,"the pad se ew chicken was delicious , however the pad thai was far too oily .",pad se ew chicken,explicit,FOOD QUALITY,positive,delicious
725,"the pad se ew chicken was delicious , however the pad thai was far too oily .",pad thai,explicit,FOOD QUALITY,negative,oily
726,The wine list is extensive and can easily hike up an otherwise reasonably priced meal .,wine list,explicit,DRINKS STYLE_OPTIONS,positive,extensive
727,The wine list is extensive and can easily hike up an otherwise reasonably priced meal .,meal,explicit,FOOD PRICES,positive,reasonably priced
728,We were not dissappointed in the least bit by this little gem .,NULL,implicit,RESTAURANT GENERAL,positive,not dissappointed in the least bit
729,"Service was very good - prompt , attentive and non-intrusive .",Service,explicit,SERVICE GENERAL,positive,good
730,"Service was very good - prompt , attentive and non-intrusive .",Service,explicit,SERVICE GENERAL,positive,prompt
731,"Service was very good - prompt , attentive and non-intrusive .",Service,explicit,SERVICE GENERAL,positive,attentive
732,"Service was very good - prompt , attentive and non-intrusive .",Service,explicit,SERVICE GENERAL,positive,non-intrusive
733,The baked clams octopus we shared as appetizers were the best we 've ever had ! !,baked clams octopus,explicit,FOOD QUALITY,positive,best
734,I expected quite a bit more from such an expensive menu .,menu,explicit,FOOD PRICES,negative,expensive
735,I expected quite a bit more from such an expensive menu .,menu,explicit,FOOD QUALITY,negative,expensive
736,"Service is not exactly five star , but thats not really a big deal .",Service,explicit,SERVICE GENERAL,neutral,not exactly five star
737,"Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .",Food,explicit,FOOD QUALITY,positive,good
738,"Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .",raw vegatables in side orders,explicit,FOOD QUALITY,negative,wondered about freshmess
739,By far the best salad I have had in a fast food restaurant .,salad,explicit,FOOD QUALITY,positive,best
740,The food is prepared quickly and efficiently .,NULL,implicit,SERVICE GENERAL,positive,quickly
741,The food is prepared quickly and efficiently .,NULL,implicit,SERVICE GENERAL,positive,efficiently
742,We ended our great experience by having Gulab Jamun ( dessert ) recommended by the waiter .,Gulab Jamun ( dessert ),explicit,FOOD QUALITY,positive,great
743,Wine list selection is good and wine-by-the-glass was generously filled to the top .,Wine list selection,explicit,DRINKS STYLE_OPTIONS,positive,good
744,Wine list selection is good and wine-by-the-glass was generously filled to the top .,wine-by-the-glass,explicit,DRINKS STYLE_OPTIONS,positive,generously filled
745,Good food .,food,explicit,FOOD QUALITY,positive,Good
746,The tuna and wasabe potatoes are excellent .,tuna,explicit,FOOD QUALITY,positive,excellent
747,The tuna and wasabe potatoes are excellent .,wasabe potatoes,explicit,FOOD QUALITY,positive,excellent
748,This place is worth an one-hour drive .,place,explicit,RESTAURANT GENERAL,positive,worth
749,I recieved prompt service with a smile .,service,explicit,SERVICE GENERAL,positive,prompt
750,"they were dry and disgusting , i did n't even finish my first piece .",NULL,implicit,FOOD QUALITY,negative,dry
751,"they were dry and disgusting , i did n't even finish my first piece .",NULL,implicit,FOOD QUALITY,negative,disgusting
752,"its a little out of the way if you do n't live in the neighborhood , but definitely worth the trip from wherever you are .",NULL,implicit,LOCATION GENERAL,negative,a little out of the way
753,"its a little out of the way if you do n't live in the neighborhood , but definitely worth the trip from wherever you are .",NULL,implicit,RESTAURANT GENERAL,positive,worth
754,"Rude service , medicore food ... there are tons of restaurants in NY ... stay away from this one",service,explicit,SERVICE GENERAL,negative,Rude
755,"Rude service , medicore food ... there are tons of restaurants in NY ... stay away from this one",food,explicit,FOOD QUALITY,neutral,medicore
756,"Rude service , medicore food ... there are tons of restaurants in NY ... stay away from this one",NULL,implicit,RESTAURANT GENERAL,negative,stay away
757,"It is set far from the small street it 's on , and there is no traffic noise .",NULL,implicit,LOCATION GENERAL,positive,no traffic noise
758,I look forward to eating here again,NULL,implicit,RESTAURANT GENERAL,positive,look forward
759,I loved it and would HIGHLY RECOMMEND .,NULL,implicit,RESTAURANT GENERAL,positive,loved
760,I loved it and would HIGHLY RECOMMEND .,NULL,implicit,RESTAURANT GENERAL,positive,HIGHLY RECOMMEND
761,even the wine by the glass was good .,wine by the glass,explicit,DRINKS QUALITY,positive,good
762,Ess-A-Bagel ( either by Sty-town or midtown ) is by far the best bagel in NY .,bagel,explicit,FOOD QUALITY,positive,best
763,The sangria was pretty tasty and good on a hot muggy day .,sangria,explicit,DRINKS QUALITY,positive,tasty
764,The sangria was pretty tasty and good on a hot muggy day .,sangria,explicit,DRINKS QUALITY,positive,good
765,Authentic Taiwanese food that 's cheap ... what more could you ask for ?,Taiwanese food,explicit,FOOD QUALITY,positive,Authentic
766,Authentic Taiwanese food that 's cheap ... what more could you ask for ?,Taiwanese food,explicit,FOOD PRICES,positive,cheap
767,"The in-house lady DJ on Saturday nights has outrageously good taste in music , and moreover , takes requests .",in-house lady DJ,explicit,AMBIENCE GENERAL,positive,good taste
768,It 's great to go for a quick lunch either alone or with a friend .,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,great
769,Priced at upper intermediate range .,NULL,implicit,RESTAURANT PRICES,negative,upper intermediate
770,The dining room is quietly elegant with no music to shout over -- how refreshing !,dining room,explicit,AMBIENCE GENERAL,positive,elegant
771,The dining room is quietly elegant with no music to shout over -- how refreshing !,dining room,explicit,AMBIENCE GENERAL,positive,refreshing
772,This is a wonderful place on all stand points especially value ofr money .,place,explicit,RESTAURANT PRICES,positive,wonderful
773,This is a wonderful place on all stand points especially value ofr money .,place,explicit,RESTAURANT GENERAL,positive,wonderful
774,Go there to relax and feel like your somewhere else .,NULL,implicit,AMBIENCE GENERAL,positive,relax
775,This was my frist time at Cafe St. Bart 's and I must say how delicious the food and the service was .,food,explicit,FOOD QUALITY,positive,delicious
776,"Food was very good as well , considering that we tried the budget selection ( though I wish the pork belly that I ordered was roasted a bit longer , so that fat was more of a melt-in-your-mouth experience ) .",Food,explicit,FOOD QUALITY,positive,good
777,"Food was very good as well , considering that we tried the budget selection ( though I wish the pork belly that I ordered was roasted a bit longer , so that fat was more of a melt-in-your-mouth experience ) .",pork belly,explicit,FOOD QUALITY,negative,roasted a bit longer
778,The wine the service was very good too .,wine,explicit,DRINKS QUALITY,positive,good
779,The wine the service was very good too .,service,explicit,SERVICE GENERAL,positive,good
780,It 's cuz it 's so good you need to taste it ! ! !,NULL,implicit,FOOD QUALITY,positive,good
781,Open late ( well as late as I ever got there and I 'm a night person ),NULL,implicit,RESTAURANT MISCELLANEOUS,positive,well
782,The only problem is that the manager is a complete incompetent .,manager,explicit,SERVICE GENERAL,negative,incompetent
783,Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .,raddichio,explicit,FOOD QUALITY,negative,bitter
784,Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .,NULL,implicit,FOOD QUALITY,positive,delicious
785,The service is awful .,service,explicit,SERVICE GENERAL,negative,awful
786,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time .,ambience,explicit,AMBIENCE GENERAL,positive,correct
787,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time .,staff,explicit,SERVICE GENERAL,positive,excellent
788,Service is not what one would expect from a joint in this price category .,Service,explicit,SERVICE GENERAL,negative,not what one would expect
789,"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too .",place,explicit,RESTAURANT GENERAL,negative,unattractive
790,"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too .",room,explicit,AMBIENCE GENERAL,negative,unattractive
791,"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too .",clerks,explicit,SERVICE GENERAL,negative,unhelpful
792,Probably would not go again ...,NULL,implicit,RESTAURANT GENERAL,negative,not go again
793,My friend devoured her chicken and mashed potatos .,chicken and mashed potatos,explicit,FOOD QUALITY,positive,devoured
794,"It melted in my little mouth and the perfect consistency-not too fishy , creamy , and slightly buttery .",NULL,implicit,FOOD QUALITY,positive,perfect consistency
795,"It melted in my little mouth and the perfect consistency-not too fishy , creamy , and slightly buttery .",NULL,implicit,FOOD QUALITY,positive,not too fishy
796,"It melted in my little mouth and the perfect consistency-not too fishy , creamy , and slightly buttery .",NULL,implicit,FOOD QUALITY,positive,creamy
797,"It melted in my little mouth and the perfect consistency-not too fishy , creamy , and slightly buttery .",NULL,implicit,FOOD QUALITY,positive,buttery
798,We were then shooed inside .,NULL,implicit,SERVICE GENERAL,negative,shooed
799,Although we were looking for regular lettuce and some walnuts the salads we got were great .,salads,explicit,FOOD QUALITY,positive,great
800,Great bagels made the old-fashioned way .,bagels,explicit,FOOD QUALITY,positive,Great
801,Great bagels made the old-fashioned way .,bagels,explicit,FOOD STYLE_OPTIONS,positive,Great
802,"It 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor .",NULL,implicit,AMBIENCE GENERAL,negative,boring
803,"It 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor .",sushi,explicit,FOOD QUALITY,negative,below average
804,"It 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor .",tuna,explicit,FOOD QUALITY,negative,soggy
805,"It 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor .",rolls,explicit,FOOD QUALITY,negative,no flavor
806,We were seated outside and the waiter spilled red wine and hot tea on myself and my date .,waiter,explicit,SERVICE GENERAL,negative,spilled
807,Delivery is fast too .,Delivery,explicit,SERVICE GENERAL,positive,fast
808,My friend got the mushroom pizza which tasted better .,mushroom pizza,explicit,FOOD QUALITY,positive,better
809,Go to Volare for 1st class service and terrific food .,service,explicit,SERVICE GENERAL,positive,1st class
810,Go to Volare for 1st class service and terrific food .,food,explicit,FOOD QUALITY,positive,terrific
811,"I found the food to be outstanding , particulary the salmon dish I had .",food,explicit,FOOD QUALITY,positive,outstanding
812,"I found the food to be outstanding , particulary the salmon dish I had .",salmon dish,explicit,FOOD QUALITY,positive,outstanding
813,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,outdoor atmosphere,explicit,LOCATION GENERAL,positive,wonderful
814,My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian .,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,pleasantly surprised
815,If you 've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer .,view,explicit,LOCATION GENERAL,positive,the top of view the chart house has to offer
816,Try the sea bass .,sea bass,explicit,FOOD QUALITY,positive,Try
817,"When family came in he gave them apps to test their palets , and then ordered for them .",NULL,implicit,SERVICE GENERAL,positive,ordered for them
818,Go hungry and enjoy .,NULL,implicit,RESTAURANT GENERAL,positive,enjoy
819,the waitstaffs are nice though .,waitstaffs,explicit,SERVICE GENERAL,positive,nice
820,"The food was not fresh , the sauces were bland and very oily .",food,explicit,FOOD QUALITY,negative,not fresh
821,"The food was not fresh , the sauces were bland and very oily .",sauces,explicit,FOOD QUALITY,negative,bland
822,"The food was not fresh , the sauces were bland and very oily .",sauces,explicit,FOOD QUALITY,negative,oily
823,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat .,service,explicit,SERVICE GENERAL,positive,good
824,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat .,place,explicit,AMBIENCE GENERAL,positive,relaxing
825,"( The asparagus , truffle oil , parmesan bruschetta is a winner ! )","asparagus , truffle oil , parmesan bruschetta",explicit,FOOD QUALITY,positive,winner
826,Great pizza and fantastic service .,pizza,explicit,FOOD QUALITY,positive,Great
827,Great pizza and fantastic service .,service,explicit,SERVICE GENERAL,positive,fantastic
828,"As a Japanese native , I 've lived in the Tristate area for over 8 years , but I was just so amazed at this place .",place,explicit,RESTAURANT GENERAL,positive,amazed
829,You must try the shrimp appetizers .,shrimp appetizers,explicit,FOOD QUALITY,positive,try
830,"I would recommend Roxy 's for that , but not for their food .",food,explicit,FOOD QUALITY,negative,recommend
831,"I would recommend Roxy 's for that , but not for their food .",NULL,implicit,FOOD QUALITY,negative,not for their food
832,The pizza was pretty good and huge .,pizza,explicit,FOOD QUALITY,positive,good
833,The pizza was pretty good and huge .,pizza,explicit,FOOD STYLE_OPTIONS,positive,huge
834,The workers there also absolutely load the bagel with cream cheese ( gets a little messy ) .,bagel,explicit,FOOD STYLE_OPTIONS,negative,messy
835,this little place has a cute interior decor and affordable city prices .,interior decor,explicit,AMBIENCE GENERAL,positive,cute
836,this little place has a cute interior decor and affordable city prices .,place,explicit,RESTAURANT PRICES,positive,little
837,"I come from a family of pizzeria owners , and I 'm almost ashamed to say that the pizza in Fornino 's blows my families receipies away .",pizza,explicit,FOOD QUALITY,positive,ashamed
838,"The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .",porcini mushroom pasta special,explicit,FOOD QUALITY,negative,tasteless
839,"The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .",seafood tagliatelle,explicit,FOOD QUALITY,negative,tasteless
840,The food is okay and the prices here are mediocre .,food,explicit,FOOD QUALITY,neutral,okay
841,The food is okay and the prices here are mediocre .,NULL,implicit,RESTAURANT PRICES,neutral,mediocre
842,The food is great and reasonably priced .,food,explicit,FOOD QUALITY,positive,great
843,The food is great and reasonably priced .,food,explicit,FOOD PRICES,positive,reasonably priced
844,Slightly on the pricey side but worth it !,NULL,implicit,RESTAURANT PRICES,negative,pricey
845,Slightly on the pricey side but worth it !,NULL,implicit,RESTAURANT GENERAL,positive,worth
846,I had the best ravioli ever .,ravioli,explicit,FOOD QUALITY,positive,best
847,It was pretty inexpensive too .,NULL,implicit,RESTAURANT PRICES,positive,inexpensive
848,You will not be disapointed at all .,NULL,implicit,RESTAURANT GENERAL,positive,will not be disapointed
849,Their pad penang is delicious and everything else is fantastic .,pad penang,explicit,FOOD QUALITY,positive,delicious
850,Their pad penang is delicious and everything else is fantastic .,NULL,implicit,FOOD QUALITY,positive,fantastic
851,Fresh ingredients and everything is made to order .,ingredients,explicit,FOOD QUALITY,positive,Fresh
852,"also it 's great to have dinner in a very romantic and comfortable place , the service it 's just perfect ... they 're so frendly that we never want to live the place !",place,explicit,AMBIENCE GENERAL,positive,romantic
853,"also it 's great to have dinner in a very romantic and comfortable place , the service it 's just perfect ... they 're so frendly that we never want to live the place !",place,explicit,AMBIENCE GENERAL,positive,comfortable
854,"also it 's great to have dinner in a very romantic and comfortable place , the service it 's just perfect ... they 're so frendly that we never want to live the place !",service,explicit,SERVICE GENERAL,positive,perfect
855,"The dosas are skimpy , unattractive and drip with grease , and personally I 'd drink popcorn topping before I 'd eat another one of these .",dosas,explicit,FOOD STYLE_OPTIONS,negative,skimpy
856,"The dosas are skimpy , unattractive and drip with grease , and personally I 'd drink popcorn topping before I 'd eat another one of these .",dosas,explicit,FOOD QUALITY,negative,unattractive
857,the last time i walked by it looked pretty empty . hmmm .,NULL,implicit,RESTAURANT MISCELLANEOUS,negative,empty
858,The bar is very well stocked with interesting beers and well priced wines .,bar,explicit,DRINKS STYLE_OPTIONS,positive,well stocked
859,The bar is very well stocked with interesting beers and well priced wines .,beers,explicit,DRINKS STYLE_OPTIONS,positive,interesting
860,The bar is very well stocked with interesting beers and well priced wines .,wines,explicit,DRINKS PRICES,positive,well priced
861,"After all that , they complained to me about the small tip .",NULL,implicit,SERVICE GENERAL,negative,complained
862,Very affordable and excellent ambient !,ambient,explicit,AMBIENCE GENERAL,positive,excellent
863,Very affordable and excellent ambient !,NULL,implicit,RESTAURANT PRICES,positive,affordable
864,"The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting .",mussles,explicit,FOOD QUALITY,negative,fishiest
865,"The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting .",seabass,explicit,FOOD QUALITY,negative,bland
866,"The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting .",goat cheese salad,explicit,FOOD QUALITY,negative,missing
867,"The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting .",penne w/ chicken,explicit,FOOD QUALITY,negative,disgusting
868,I would go back .,NULL,implicit,RESTAURANT GENERAL,positive,go back
869,"I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",sea urchin,explicit,FOOD QUALITY,positive,heavenly
870,"They forgot a sandwich , did n't include plastic forks , and did n't include pita with the hummus platter .",NULL,implicit,SERVICE GENERAL,negative,forgot
871,"Service was prompt , friendly and great .",Service,explicit,SERVICE GENERAL,positive,prompt
872,"Service was prompt , friendly and great .",Service,explicit,SERVICE GENERAL,positive,friendly
873,"Service was prompt , friendly and great .",Service,explicit,SERVICE GENERAL,positive,great
874,This was a repeat visit and we 'll definitely be back again .,NULL,implicit,RESTAURANT GENERAL,positive,be back again
875,"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",staff,explicit,SERVICE GENERAL,negative,rude
876,sometimes i get good food and ok service .,food,explicit,FOOD QUALITY,positive,good
877,sometimes i get good food and ok service .,service,explicit,SERVICE GENERAL,neutral,ok
878,Service friendly and attentive .,Service,explicit,SERVICE GENERAL,positive,friendly
879,Service friendly and attentive .,Service,explicit,SERVICE GENERAL,positive,attentive
880,My fav was the sassy lassi ...,sassy lassi,explicit,DRINKS QUALITY,positive,fav
881,This place is always packed .,place,explicit,AMBIENCE GENERAL,neutral,packed
882,I do n't think I would go again .,NULL,implicit,RESTAURANT GENERAL,negative,do n't think I would go again 
883,A guaranteeed delight !,NULL,implicit,RESTAURANT GENERAL,positive,delight
884,"For the price , you can not eat this well in Manhattan .",NULL,implicit,RESTAURANT PRICES,negative,can not eat this well
885,"Everytime I decide to try another place on the UES , I get angry that I did n't just go to Zucchero Pomodori .",Zucchero Pomodori,explicit,RESTAURANT GENERAL,positive,did n't just go to
886,"After dinner the manager grabbed my boyfriend , asked him : Where are you from ... maybe you dont know how things work in America ... and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .",manager,explicit,SERVICE GENERAL,negative,yelling
887,The filet mignon dish was superb !,filet mignon dish,explicit,FOOD QUALITY,positive,superb
888,Service was prompt and courteous .,Service,explicit,SERVICE GENERAL,positive,prompt
889,Service was prompt and courteous .,Service,explicit,SERVICE GENERAL,positive,courteous
890,I 'm still mad that i had to pay for lousy food .,food,explicit,FOOD QUALITY,negative,lousy
891,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great .,lobster sandwich,explicit,FOOD QUALITY,positive,good
892,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great .,spaghetti with Scallops and Shrimp,explicit,FOOD QUALITY,positive,great
893,Patroon features a nice cigar bar and has great staff .,cigar bar,explicit,AMBIENCE GENERAL,positive,nice
894,Patroon features a nice cigar bar and has great staff .,staff,explicit,SERVICE GENERAL,positive,great
895,There is no excuse for such lousy service !,service,explicit,SERVICE GENERAL,negative,lousy
896,"Seriously , this place kicks ass .",place,explicit,RESTAURANT GENERAL,positive,kicks ass
897,The food was absolutely amazing ! !,food,explicit,FOOD QUALITY,positive,amazing
898,Overall I would recommend it and go back again .,NULL,implicit,RESTAURANT GENERAL,positive,recommend
899,This is an amazing place to try some roti rolls .,roti rolls,explicit,FOOD QUALITY,positive,try
900,"We love the food , drinks , and atmosphere !",food,explicit,FOOD QUALITY,positive,love
901,"We love the food , drinks , and atmosphere !",drinks,explicit,DRINKS QUALITY,positive,love
902,"We love the food , drinks , and atmosphere !",atmosphere,explicit,AMBIENCE GENERAL,positive,love
903,Hats off to the chef .,chef,explicit,FOOD QUALITY,positive,Hats off
904,Okay-i do n't mind the oily part ( cause most are cooked that way ) but it was way too bland .,NULL,implicit,FOOD QUALITY,negative,oily
905,Okay-i do n't mind the oily part ( cause most are cooked that way ) but it was way too bland .,NULL,implicit,FOOD QUALITY,negative,bland
906,This is by far my favorite place in the neighborhood .,place,explicit,RESTAURANT GENERAL,positive,favorite
907,The portions are large and the servers always surprise us with a different starter .,portions,explicit,FOOD STYLE_OPTIONS,positive,large
908,There is a downside if you 're ordering in -- the delivery guys have MAJOR attitude .,delivery guys,explicit,SERVICE GENERAL,negative,downside
909,"They 're rude at times , and not very friendly .",NULL,implicit,SERVICE GENERAL,negative,rude
910,We were less than impressed .,NULL,implicit,RESTAURANT GENERAL,negative,less than impressed
911,They charge different prices all the time .,NULL,implicit,SERVICE GENERAL,negative,charge different prices
912,This place is the most Japanese it can ever get .,place,explicit,RESTAURANT MISCELLANEOUS,positive,Japanese
913,Waitstaff are very friendly .,Waitstaff,explicit,SERVICE GENERAL,positive,friendly
914,"They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place , but also become hostile !",NULL,implicit,SERVICE GENERAL,negative,not helpful in the least
915,I have to say I have never had a disapointing meal here .,meal,explicit,FOOD QUALITY,positive,never had a disapointing
916,"The service was attentive , yet discreet .",service,explicit,SERVICE GENERAL,positive,attentive
917,"The service was attentive , yet discreet .",service,explicit,SERVICE GENERAL,positive,discreet
918,A classic !,NULL,implicit,FOOD QUALITY,positive,classic
919,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no ...",waitress,explicit,SERVICE GENERAL,negative,sitting on the toilet
920,"And it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3-6 each ) .",NULL,implicit,FOOD PRICES,positive,reasonable
921,"And it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3-6 each ) .",congee,explicit,FOOD PRICES,positive,no more than $ 3-6 each
922,"And it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3-6 each ) .",noodles,explicit,FOOD PRICES,positive,no more than $ 3-6 each
923,"And it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3-6 each ) .",rice dishes,explicit,FOOD PRICES,positive,no more than $ 3-6 each
924,Make sure you have the Spicy Scallop roll ...,Spicy Scallop roll,explicit,FOOD QUALITY,positive,Make sure
925,"However , if you want great food at a great price and do n't mind the decor , you ca n't beat this place .",food,explicit,FOOD QUALITY,positive,great
926,"However , if you want great food at a great price and do n't mind the decor , you ca n't beat this place .",food,explicit,FOOD PRICES,positive,great
927,"During the course of the past 3 months , the chef and staff changed and it was not for the better .",chef,explicit,FOOD QUALITY,negative,changed
928,"During the course of the past 3 months , the chef and staff changed and it was not for the better .",staff,explicit,SERVICE GENERAL,negative,changed
929,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n't like .,food,explicit,FOOD PRICES,negative,pricey
930,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n't like .,prixe fixe tasting menu,explicit,FOOD QUALITY,positive,greatest
931,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n't like .,prixe fixe tasting menu,explicit,FOOD PRICES,positive,greatest
932,"i happen to have a policy that goes along with a little bit of self-respect , which includes not letting a waiter intimidate me , i.e . make me feel bad asking for trivialities like water , or the check .",waiter,explicit,SERVICE GENERAL,negative,bad
933,I got an excellent piece of cheesecake and we had several other nice pastries .,cheesecake,explicit,FOOD QUALITY,positive,excellent
934,I got an excellent piece of cheesecake and we had several other nice pastries .,pastries,explicit,FOOD QUALITY,positive,nice
935,The service was friendly and the atmosphere was casual .,service,explicit,SERVICE GENERAL,positive,friendly
936,The service was friendly and the atmosphere was casual .,atmosphere,explicit,AMBIENCE GENERAL,neutral,casual
937,Definitely a great spot for a nice occasion or date .,spot,explicit,RESTAURANT MISCELLANEOUS,positive,great
938,Staff is very accomodating .,Staff,explicit,SERVICE GENERAL,positive,accomodating
939,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere !,manager,explicit,SERVICE GENERAL,negative,take my business elsewhere
940,Rao 's has the best service and atmosphere in NYC .,service,explicit,SERVICE GENERAL,positive,best
941,Rao 's has the best service and atmosphere in NYC .,atmosphere,explicit,AMBIENCE GENERAL,positive,best
