As_true	As_pre	sentence	true_ner	predict_ner
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] i also really enjoy the simplicity of the decor and intimate feeling of a small restaurant. [SEP]	O O O O O O O O O B-EO O O O O O O O O O	O O O O O O O O O B-EO O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] i also really enjoy the simplicity of the decor and intimate feeling of a small restaurant. [SEP]	O O O O O O O O O B-EO O O O O O O O O O	O O O O O O O O O B-EO O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] i also really enjoy the simplicity of the decor and intimate feeling of a small restaurant. [SEP]	O O O O O O O O O O O O B-EO O O O O O O	O O O O O O O O O B-EO O O B-EO O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] we re going back. : d [SEP]	O O O B-NULL I-NULL O O O O	O O O B-NULL I-NULL O O O O
FOOD#QUALITY#NEGATIVE	FOOD#QUALITY#NEGATIVE	[CLS] i should have thought to bring it up but never expected the food to be that mild. [SEP]	O O O O O O O O O O O O O B-EO O O O O O O	O O O O O O O O O O O O O B-EO O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] when i walked in, i was taken aback by their incredible wood decor. [SEP]	O O O O O O O O O O O O O B-EO I-EO O O	O O O O O O O O O O O O O B-EO I-EO O O
RESTAURANT#MISCELLANEOUS#NEUTRAL	RESTAURANT#MISCELLANEOUS#NEUTRAL	[CLS] it s a tiny place so if you get there before 8 pm on a weekend ( thurs? sun ) you will find it easier to get a table or a seat at the sushi bar. [SEP]	O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] best neighborhood standby. [SEP]	O O O B-EO O O	O B-NULL O B-NULL O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] i d go back there in a heartbeat. [SEP]	O O O B-NULL I-NULL O O O O O O	O O O B-NULL I-NULL O O O O O O
FOOD#PRICES#POSITIVE	FOOD#PRICES#POSITIVE	[CLS] it s * very * reasonably priced, esp for the quality of the food. [SEP]	O O O O O O O O O O O O O O O B-EO O O	O O O O O O O O O O O O O O O B-EO O O
FOOD#STYLE_OPTIONS#POSITIVE	FOOD#STYLE_OPTIONS#POSITIVE	[CLS] plenty of food, trust me. [SEP]	O O O B-EO O O O O O	O O O B-EO O O O O O
RESTAURANT#MISCELLANEOUS#POSITIVE	RESTAURANT#MISCELLANEOUS#POSITIVE	[CLS] it s the perfect spot for a romantic date for 2 or a secret rendezvous! [SEP]	O O O O O B-EO O O O O O O O O O O O O	O O O O O B-EO O O O O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] it s the perfect spot for a romantic date for 2 or a secret rendezvous! [SEP]	O O O O O B-EO O O O O O O O O O O O O	O O O O O B-EO O O O O O O O O O O O O
DRINKS#QUALITY#POSITIVE	DRINKS#QUALITY#POSITIVE	[CLS] also have great margaritas! [SEP]	O O O O B-EO O O	O O O O B-EO O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] it s unpretentious and underground. [SEP]	O O O B-NULL O O O O	O O O B-NULL O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] it s unpretentious and underground. [SEP]	O O O O O B-NULL O O	O O O B-NULL O B-NULL O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the place is the next best thing to my moms cooking. [SEP]	O O O O O O B-NULL O O O O O O O	O O O O O O O O O O O O O O
RESTAURANT#MISCELLANEOUS#POSITIVE	RESTAURANT#MISCELLANEOUS#POSITIVE	[CLS] the best place for a leisure sunday breakfast amidst yachts, then take a stroll through the nearby farmer s market. [SEP]	O O O B-EO O O O O O O O O O O O O O O O O O O O O	O O O B-EO O O O O O O O O O O O O O O O O O I-EO O O
RESTAURANT#MISCELLANEOUS#POSITIVE	RESTAURANT#MISCELLANEOUS#POSITIVE	[CLS] if you can, come to this place by boat and make it a whole evening. [SEP]	O O O O O O O O B-EO O O O O O O O O O O	O O O O O O O O B-EO O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] for desert we had the mango ginger creme brulee... oh la la yummy!!! [SEP]	O O O O O O B-EO I-EO I-EO I-EO O O O O O O O O O O O	O O O O O O B-EO I-EO I-EO O O O O O B-EO I-EO O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] its worth the wait, especially since they ll give you a call when the table is ready. [SEP]	O O B-NULL O O O O O O O O O O O O O O O O O O	O O B-NULL O O O O O O O O O O O O O O O O O O
FOOD#STYLE_OPTIONS#POSITIVE	FOOD#STYLE_OPTIONS#POSITIVE	[CLS] they have a wide variety of fish and they even list which oceans they come from ; atlantic or pacific. [SEP]	O O O O O O O B-EO O O O O O O O O O O O O O O O	O O O O O O O B-EO O O O O O O O O O O O O O O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] well i guess it s hard to be seated when one is invisible to the staff. [SEP]	O O O O O O O O O O O O O O O O B-EO O O	O O O O O O B-NULL O O O O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] great open and friendly ambience. [SEP]	O O O O O B-EO O O	O O O O O B-EO O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] a brief conversation with the manager at the end of the meal was the greatest disappointment - - to say we had been ` ` blown off ` ` would be an understatement. [SEP]	O O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
LOCATION#GENERAL#POSITIVE	LOCATION#GENERAL#POSITIVE	[CLS] ray s is something of a seattle institution, but given its gorgeous sound views, i had suspected that the accolades were more due to the scenery than to the food and service. [SEP]	O O O O O O O O O O O O O O B-EO I-EO O O O O O O O O O O O O O O O O O O O O O	O O I-EO O O O O O O O O O O O B-EO I-EO O O O O O O O O O O O O O O O O O O O O O
DRINKS#QUALITY#NEGATIVE	DRINKS#QUALITY#NEGATIVE	[CLS] i swore never to return for a warm beer and mediocre meal. [SEP]	O O O O O O O O O B-EO O O O O O	O O O O O O O O O B-EO O O O O O
FOOD#QUALITY#NEGATIVE	FOOD#QUALITY#NEGATIVE	[CLS] i swore never to return for a warm beer and mediocre meal. [SEP]	O O O O O O O O O O O O B-EO O O	O O O O O O O O O O O O B-EO O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] if it s nice outside, request for a table in the balcony. [SEP]	O O O O O O O O O O O O O B-EO O O	O O O O B-NULL O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] great food with an awesome atmosphere! [SEP]	O O B-EO O O O O O O	O O B-EO O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] great food with an awesome atmosphere! [SEP]	O O O O O O B-EO O O	O O O O O O B-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] i ended the meal with the unusual dessert of a port and chocolate tasting... yummy! [SEP]	O O O O O O O O B-EO I-EO I-EO I-EO I-EO I-EO I-EO O O O O O O	O O O O O O O O B-EO O O O O O O O O O O O O
FOOD#QUALITY#NEUTRAL	FOOD#QUALITY#NEUTRAL	[CLS] i got the shellfish and shrimp appetizer and it was alright. [SEP]	O O O O B-EO I-EO I-EO I-EO I-EO O O O O O	O O O O B-EO I-EO I-EO I-EO O O O O B-EO O
FOOD#STYLE_OPTIONS#POSITIVE	FOOD#STYLE_OPTIONS#POSITIVE	[CLS] the pizza ’ s are thin crust and the menu offers very creative combinations and toppings. [SEP]	O O O O O O O O O O B-EO O O O O O O O O	O O O O O O O O O O B-EO O O O O O O O O
FOOD#STYLE_OPTIONS#POSITIVE	FOOD#STYLE_OPTIONS#POSITIVE	[CLS] the pizza ’ s are thin crust and the menu offers very creative combinations and toppings. [SEP]	O O B-EO I-EO I-EO O O O O O O O O O O O O O O	O O B-EO I-EO I-EO O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] it s a great place to enjoy food and meet friends. [SEP]	O O O O O O O O B-EO O O O O O	O O O O O O O O B-EO O O O O O
RESTAURANT#MISCELLANEOUS#POSITIVE	RESTAURANT#MISCELLANEOUS#POSITIVE	[CLS] it s a great place to enjoy food and meet friends. [SEP]	O O O O O B-EO O O O O O O O O	O O O O O B-EO O O O O O O O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] the service was excellent, the coffee was good even by starbucks standards and the food was outstanding. [SEP]	O O B-EO O O O O O O O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O O O O O O O
DRINKS#QUALITY#POSITIVE	DRINKS#QUALITY#POSITIVE	[CLS] the service was excellent, the coffee was good even by starbucks standards and the food was outstanding. [SEP]	O O O O O O O B-EO O O O O O O O O O O O O O	O O O O O O O B-EO O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the service was excellent, the coffee was good even by starbucks standards and the food was outstanding. [SEP]	O O O O O O O O O O O O O O O O B-EO O O O O	O O O O O O O O O O O O O O O O B-EO O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] this is the place to relax and enjoy the finest quality food the industry can offer. [SEP]	O O O O B-EO O O O O O O O O O O O O O O	O O O O B-EO O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] this is the place to relax and enjoy the finest quality food the industry can offer. [SEP]	O O O O O O O O O O O O B-EO O O O O O O	O O O O O O O O O O O O B-EO O O O O O O
DRINKS#QUALITY#POSITIVE	DRINKS#QUALITY#POSITIVE	[CLS] i would go back for the wine experience alone. [SEP]	O O O O O O O B-EO O O O O	O O O O O O O B-EO O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the best calamari in seattle! [SEP]	O O O B-EO O O O O	O O O B-EO O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] the presentation of snooze is excellent and it is one of those places that you feel more sophisticated just for being there ; but peel back the layers and you have an overpriced ihop with a high brow menu. [SEP]	O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O B-EO O I-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
FOOD#STYLE_OPTIONS#NEGATIVE	FOOD#STYLE_OPTIONS#NEGATIVE	[CLS] the presentation of snooze is excellent and it is one of those places that you feel more sophisticated just for being there ; but peel back the layers and you have an overpriced ihop with a high brow menu. [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O	O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O
RESTAURANT#PRICES#NEGATIVE	RESTAURANT#PRICES#NEGATIVE	[CLS] the presentation of snooze is excellent and it is one of those places that you feel more sophisticated just for being there ; but peel back the layers and you have an overpriced ihop with a high brow menu. [SEP]	O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] i complained to the manager, but he was not even apologetic. [SEP]	O O O O O B-EO O O O O O O O O O	O O O O O B-EO O O O O O O O O O
LOCATION#GENERAL#POSITIVE	LOCATION#GENERAL#POSITIVE	[CLS] much more than just a great view! [SEP]	O O O O O O O B-EO O O	O O O O O O O B-EO O O
AMBIENCE#GENERAL#NEUTRAL	AMBIENCE#GENERAL#NEUTRAL	[CLS] the atmosphere was just okay. [SEP]	O O B-EO O O O O O	O O B-EO O O O O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] once seated it took about 30 minutes to finally get the meal. [SEP]	O O O O O O B-NULL I-NULL O O O O O O O	O O O O O O B-NULL I-NULL O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] – in a age of incremental cost cutting in restaurants, its nice to see a place that bucks that trend, and just plain delivers high quality food and good service, period. [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] – in a age of incremental cost cutting in restaurants, its nice to see a place that bucks that trend, and just plain delivers high quality food and good service, period. [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] i liked the atmosphere very much but the food was not worth the price. [SEP]	O O O O B-EO O O O O O O O O O O O O	O O O O B-EO O O O O O O O O O O O O
FOOD#QUALITY#NEGATIVE	FOOD#QUALITY#NEGATIVE	[CLS] i liked the atmosphere very much but the food was not worth the price. [SEP]	O O O O O O O O O B-EO O O O O O O O	O O O O O O O O O B-EO O O O O O O O
FOOD#PRICES#NEGATIVE	FOOD#PRICES#NEGATIVE	[CLS] i liked the atmosphere very much but the food was not worth the price. [SEP]	O O O O O O O O O B-EO O O O O O O O	O O O O O O O O O B-EO O O O O O O O
LOCATION#GENERAL#NEUTRAL	LOCATION#GENERAL#NEUTRAL	[CLS] it s located in a strip mall near the beverly center, not the greatest location, but the food keeps me coming back for more. [SEP]	O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O O O	O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] it s located in a strip mall near the beverly center, not the greatest location, but the food keeps me coming back for more. [SEP]	O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O	O O O O O O O O O O O O O O O O O O O O B-EO O O O O O O O O
FOOD#QUALITY#NEGATIVE	FOOD#QUALITY#NEGATIVE	[CLS] on my meal i had to send back my eggs for a simple request of breaking the yokes before cooking, and would have had to send them back again if i hadn t rejected the meal all together. [SEP]	O O O O O O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O B-EO O O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O
FOOD#QUALITY#NEGATIVE	FOOD#QUALITY#NEGATIVE	[CLS] on my meal i had to send back my eggs for a simple request of breaking the yokes before cooking, and would have had to send them back again if i hadn t rejected the meal all together. [SEP]	O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] the band was very good and the service was attentive. [SEP]	O O B-EO O O O O O O O O O O	O O B-EO O O O O O O O O O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] the band was very good and the service was attentive. [SEP]	O O O O O O O O B-EO O O O O	O O O O O O O O B-EO O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] – how to describe the best sushi in nyc : hmmmm, delicious, amazing, fantastic, suculent, perfect, nah, all of the above. [SEP]	O O O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O B-EO O O O O O O O O O O O B-EO O O O O O O O O O O O
LOCATION#GENERAL#POSITIVE	LOCATION#GENERAL#POSITIVE	[CLS] – schooner or later s charming location along the marina in long beach and average food does not, unfortunately, compensate for its very poor customer service. [SEP]	O O O O O O O B-EO I-EO I-EO I-EO I-EO I-EO I-EO O O O O O O O O O O O O O O O O O	O O O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O O O
FOOD#QUALITY#NEUTRAL	FOOD#QUALITY#NEUTRAL	[CLS] – schooner or later s charming location along the marina in long beach and average food does not, unfortunately, compensate for its very poor customer service. [SEP]	O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O B-EO O O O O O O O O O O O O O O
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] – schooner or later s charming location along the marina in long beach and average food does not, unfortunately, compensate for its very poor customer service. [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO I-EO O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO I-EO O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] we were seated right away, the table was private and nice. [SEP]	O O O O O O O O B-EO O O O O O O	O O O O O O O O B-EO O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] we were seated right away, the table was private and nice. [SEP]	O O O O O O O O B-EO O O O O O O	O O O O O O O O B-EO O O O O O O
DRINKS#QUALITY#POSITIVE	DRINKS#QUALITY#POSITIVE	[CLS] good sake, good food – i honestly do nt know much about japanese food at all. [SEP]	O O B-EO O O O O O O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] good sake, good food – i honestly do nt know much about japanese food at all. [SEP]	O O O O O B-EO O O O O O O O O O B-EO O O O O	O O O O O B-EO O O O O O O O O O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] bring your cell phone cause you may have to wait to get into the best sushi restaurant in the world : blue ribbon sushi. [SEP]	O O O O O O O O O O O O O O O O O O O O O O B-EO I-EO I-EO O O	O O O O O O O O O O O O O O O O O O O O O O O O I-EO O O
FOOD#STYLE_OPTIONS#NEGATIVE	FOOD#STYLE_OPTIONS#NEGATIVE	[CLS] in the end our check came to $ 27 for 4 small pancakes, a breakfast burrito, an orange juice and an iced tea ( i had water ). [SEP]	O O O O O O O O O O O O O B-EO O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O B-EO O O O O O O O O O O O O O O O O O O O
FOOD#PRICES#NEGATIVE	FOOD#PRICES#NEGATIVE	[CLS] in the end our check came to $ 27 for 4 small pancakes, a breakfast burrito, an orange juice and an iced tea ( i had water ). [SEP]	O O O O O O O O O O O O O B-EO O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
FOOD#PRICES#NEGATIVE	FOOD#PRICES#NEGATIVE	[CLS] in the end our check came to $ 27 for 4 small pancakes, a breakfast burrito, an orange juice and an iced tea ( i had water ). [SEP]	O O O O O O O O O O O O O O O O B-EO I-EO O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
DRINKS#PRICES#NEGATIVE	DRINKS#PRICES#NEGATIVE	[CLS] in the end our check came to $ 27 for 4 small pancakes, a breakfast burrito, an orange juice and an iced tea ( i had water ). [SEP]	O O O O O O O O O O O O O O O O O O O O B-EO I-EO O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O
DRINKS#PRICES#NEGATIVE	DRINKS#PRICES#NEGATIVE	[CLS] in the end our check came to $ 27 for 4 small pancakes, a breakfast burrito, an orange juice and an iced tea ( i had water ). [SEP]	O O O O O O O O O O O O O O O O O O O O O O O O B-EO I-EO O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EO O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] good food! [SEP]	O O B-EO O O	O O B-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the catering is out of this world, and raouls chicken vegetable soup rocks my world!!! [SEP]	O O O O O O O O O O B-EO I-EO I-EO I-EO O O O O O O O	O O O O O O O O O O B-EO I-EO I-EO I-EO O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the catering is out of this world, and raouls chicken vegetable soup rocks my world!!! [SEP]	O O B-EO O O O O O O O O O O O O O O O O O O	O O O O O O O O O O B-EO I-EO I-EO I-EO O O O O O O O
FOOD#STYLE_OPTIONS#POSITIVE	FOOD#STYLE_OPTIONS#POSITIVE	[CLS] i should have just asked for the check when i saw that ; but their menu was so unique that i continued. [SEP]	O O O O O O O O O O O O O O O O B-EO O O O O O O O O	O O O O O O O O O O O O O O O O B-EO O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] great breakfast [SEP]	O O B-EO O	O O B-EO O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] seabass on lobster risotto was the best. [SEP]	O B-EO I-EO I-EO I-EO O O O O O	O B-EO I-EO I-EO I-EO O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] – the atmosphere is great for any special occasion you might want to celebrate. [SEP]	O O O B-EO O O O O O O O O O O O O O	O O O B-EO O O O O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] great seasonal fish and seafood, with a classy waterfront setting. [SEP]	O O B-EO I-EO O O O O O O O O O O	O O B-EO I-EO O O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] great seasonal fish and seafood, with a classy waterfront setting. [SEP]	O O O O O B-EO O O O O O O O O	O O B-EO I-EO O O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] great seasonal fish and seafood, with a classy waterfront setting. [SEP]	O O O O O O O O O O B-EO I-EO O O	O O O O O O O O O O B-EO I-EO O O
FOOD#STYLE_OPTIONS#NEUTRAL	FOOD#STYLE_OPTIONS#NEUTRAL	[CLS] the pizza ’ s are not huge and the crust is thin... keep that in mind when you ’ re ordering. [SEP]	O O B-EO I-EO I-EO O O O O O O O O O O O O O O O O O B-EO O O O O	O O B-EO I-EO I-EO O O O O O O O O O O O O O O O O O O O O O O
FOOD#STYLE_OPTIONS#NEUTRAL	FOOD#STYLE_OPTIONS#NEUTRAL	[CLS] the pizza ’ s are not huge and the crust is thin... keep that in mind when you ’ re ordering. [SEP]	O O O O O O O O O O B-EO O O O O O O O O O O O O O O O O	O O O O O O O O O O B-EO O O O O O O O O O O O O O O O O
LOCATION#GENERAL#POSITIVE	LOCATION#GENERAL#POSITIVE	[CLS] the only positive thing about mioposto is the nice location. [SEP]	O O O O O O O O O O B-EO O O	O O O O O O O O O O B-EO O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] i appreciate their delivery too. [SEP]	O O O O B-EO O O O	O O O O B-EO O O O
RESTAURANT#GENERAL#NEGATIVE	RESTAURANT#GENERAL#NEGATIVE	[CLS] very disappointed. [SEP]	O O B-NULL O O	O O B-NULL O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the pizza is delicious and the salads are fantastic. [SEP]	O O B-EO O O O O O O O O O	O O B-EO O O O O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the pizza is delicious and the salads are fantastic. [SEP]	O O O O O O O B-EO O O O O	O O O O O O O B-EO O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] freshest sushi – i love this restaurant. [SEP]	O O B-EO O O O O O O O	O O B-EO O O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] freshest sushi – i love this restaurant. [SEP]	O O O O O O O B-EO O O	O O O O O O O B-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] the steak was done to my exact liking ( medium rare ) and was nice and juicy. [SEP]	O O B-EO O O O O O O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] seriously, you ca nt go wrong, if it is unpretentious local fun you seek. [SEP]	O O O O B-NULL I-NULL I-NULL I-NULL O O O O O O O O O O O	O O O O B-NULL I-NULL I-NULL I-NULL O O O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] seriously, you ca nt go wrong, if it is unpretentious local fun you seek. [SEP]	O O O O O O O O O O O O B-NULL I-NULL I-NULL O O O O	O O O O O O O O O O O O O B-NULL I-NULL O O O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] the owners are great fun and the beer selection is worth staying for. [SEP]	O O B-EO O O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O O
DRINKS#STYLE_OPTIONS#POSITIVE	DRINKS#STYLE_OPTIONS#POSITIVE	[CLS] the owners are great fun and the beer selection is worth staying for. [SEP]	O O O O O O O O B-EO I-EO O O O O O O	O O O O O O O O B-EO I-EO O O O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] great draft and bottle selection and the pizza rocks. [SEP]	O O O O O O O O B-EO O O O	O O O O O O O O B-EO O O O
DRINKS#STYLE_OPTIONS#POSITIVE	DRINKS#STYLE_OPTIONS#POSITIVE	[CLS] great draft and bottle selection and the pizza rocks. [SEP]	O O B-EO I-EO I-EO I-EO I-EO O O O O O	O O B-EO I-EO I-EO I-EO O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] i guarantee you wo nt be disappointed, there s also valet parking. [SEP]	O O O O B-NULL I-NULL I-NULL I-NULL O O O O O O O O	O O O O B-NULL I-NULL I-NULL I-NULL O O O O O O O O
RESTAURANT#MISCELLANEOUS#POSITIVE	RESTAURANT#MISCELLANEOUS#POSITIVE	[CLS] i guarantee you wo nt be disappointed, there s also valet parking. [SEP]	O O O O O O O O O O O O B-NULL I-NULL O O	O O O O O O O O O O O O B-NULL B-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] late night dinning with exeptional food. [SEP]	O O O O O O B-EO O O	O O O O O O B-EO O O
FOOD#STYLE_OPTIONS#NEUTRAL	FOOD#STYLE_OPTIONS#NEUTRAL	[CLS] the portions are big though, so do not order too much. [SEP]	O O B-EO O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] definitely has one of the best jukebox s i ve seen in a long long time. [SEP]	O O O O O O O B-EO I-EO O O O O O O O O O O	O O O O O O B-NULL O O O O O O O O O O O O
SERVICE#GENERAL#NEUTRAL	SERVICE#GENERAL#NEUTRAL	[CLS] service was decent. [SEP]	O B-EO O O O O	O B-EO O O O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] absolutely delicious. [SEP]	O O B-NULL O O	O O B-NULL O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] oh, and the cheese fries are awesome! [SEP]	O O O O O B-EO I-EO O O O O	O O O O O B-EO I-EO O O O O
